Employee_ID,Name,Gender,Age,Department,City,Experience_Years,Salary,Performance_Score
EMP1039,Employee_39,Male,55,Operations,Chennai,1,188551,3
EMP1040,Employee_40,Male,54,Operations,Delhi,1,86476,3
EMP1041,Employee_41,Male,44,IT,Hyderabad,34,69811,4
EMP1042,Employee_42,Female,45,HR,Delhi,32,192280,9
EMP1043,Employee_43,Female,58,HR,Pune,25,176222,2
EMP1044,Employee_44,Female,56,Marketing,Hyderabad,1,96180,9
EMP1045,Employee_45,Female,43,IT,Pune,16,199358,1
EMP1046,Employee_46,Female,48,Operations,Bangalore,5,137856,1
EMP1047,Employee_47,Male,56,Sales,Hyderabad,22,93450,5
EMP1048,Employee_48,Female,22,IT,Bangalore,29,177424,6
EMP1049,Employee_49,Female,56,Marketing,Delhi,3,136888,6
EMP1050,Employee_50,Male,58,Marketing,Delhi,12,135448,3
EMP1051,Employee_51,Female,35,IT,Hyderabad,26,39397,7
EMP1052,Employee_52,Male,24,Marketing,Hyderabad,16,197627,9
EMP1053,Employee_53,Female,22,IT,Chennai,22,156800,8
EMP1054,Employee_54,Male,26,Finance,Pune,29,144180,6
EMP1055,Employee_55,Female,47,IT,Chennai,14,91234,8
EMP1056,Employee_56,Female,35,IT,Pune,28,64954,5
EMP1057,Employee_57,Male,48,Marketing,Chennai,5,104459,8
EMP1058,Employee_58,Male,30,Marketing,Bangalore,30,172851,4
EMP1059,Employee_59,Male,36,HR,Hyderabad,5,180538,8
EMP1060,Employee_60,Male,36,HR,Delhi,12,193011,2
EMP1061,Employee_61,Male,47,Finance,Pune,16,191342,5
EMP1062,Employee_62,Male,34,HR,Pune,26,84163,9
EMP1063,Employee_63,Male,53,IT,Delhi,26,76934,4
EMP1064,Employee_64,Male,53,Marketing,Chennai,21,188379,6
EMP1065,Employee_65,Female,25,HR,Pune,33,79098,1
EMP1066,Employee_66,Female,51,HR,Bangalore,30,30486,9
EMP1067,Employee_67,Male,58,Finance,Hyderabad,23,164407,1
EMP1068,Employee_68,Female,44,Operations,Delhi,10,111900,5
EMP1069,Employee_69,Female,36,Finance,Hyderabad,5,151020,4
EMP1070,Employee_70,Female,50,IT,Pune,34,127795,3
EMP1071,Employee_71,Female,57,Marketing,Pune,31,167202,6
EMP1072,Employee_72,Male,34,Finance,Delhi,10,112508,2
EMP1073,Employee_73,Female,53,HR,Bangalore,19,143324,3
EMP1074,Employee_74,Male,28,Marketing,Mumbai,32,85566,5
EMP1075,Employee_75,Female,43,Marketing,Delhi,1,52192,9
EMP1076,Employee_76,Female,49,HR,Mumbai,5,26062,2
EMP1077,Employee_77,Female,23,Finance,Chennai,4,109076,8
EMP1078,Employee_78,Male,27,HR,Mumbai,16,114780,2
EMP1079,Employee_79,Female,49,Operations,Bangalore,24,177617,5
EMP1080,Employee_80,Male,49,Marketing,Chennai,16,46689,7
EMP1081,Employee_81,Female,41,Sales,Mumbai,2,36174,8
EMP1082,Employee_82,Male,51,Sales,Chennai,28,113461,1
EMP1083,Employee_83,Female,32,IT,Mumbai,32,151174,6
EMP1084,Employee_84,Male,49,HR,Bangalore,27,128033,1
EMP1085,Employee_85,Male,46,HR,Mumbai,20,34348,2
EMP1086,Employee_86,Female,54,IT,Mumbai,24,179786,1
EMP1087,Employee_87,Male,22,IT,Mumbai,12,63102,5
EMP1088,Employee_88,Female,48,IT,Delhi,33,99460,9
EMP1089,Employee_89,Female,34,Marketing,Delhi,33,127634,6
EMP1090,Employee_90,Female,24,Operations,Delhi,12,114930,1
EMP1091,Employee_91,Female,27,HR,Bangalore,3,31801,1
EMP1092,Employee_92,Female,29,Marketing,Chennai,1,128150,2
EMP1093,Employee_93,Female,48,IT,Pune,33,179697,9
EMP1094,Employee_94,Female,30,HR,Mumbai,10,26542,3
EMP1095,Employee_95,Female,58,Marketing,Mumbai,29,46677,1
EMP1096,Employee_96,Female,54,Operations,Bangalore,13,64081,5
EMP1097,Employee_97,Female,45,Marketing,Mumbai,12,118105,7
EMP1098,Employee_98,Female,36,Operations,Delhi,31,44065,6
EMP1099,Employee_99,Male,53,IT,Pune,2,113092,1
